G,O1000,B10,100
R,O1001,B11,100
N,O1002,B10,200
N,O1003,B10,300
R,O1004,B09,50
G,O1005,B08,75
G,O1006,B07,100
R,O1007,B06,125
N,O1008,B05,150
N,O1009,B11,175
R,O1010,B10,200
G,O1011,B10,25
G,O1012,B09,50
R,O1013,B08,75
N,O1014,B07,100
N,O1015,B06,125
R,O1016,B05,150
G,O1017,B11,175
G,O1018,B10,200
R,O1019,B10,25
N,O1020,B09,50
R,O1021,B08,75
N,O1022,B07,100
G,O1023,B06,125
G,O1024,B05,150.25
R,O1025,B11,175
N,O1026,B10,200
G,O1027,B10,25
G,O1028,B09,50
R,O1029,B08,75
N,O1030,B07,100
G,O1031,B06,125
G,O1032,B05,150
R,O1033,B11,175
N,O1034,B10,200
G,O1035,B10,25
N,O1036,B09,50
R,O1037,B08,75
G,O1038,B07,100
G,O1039,B06,125.5
R,O1040,B05,150
N,O1041,B11,175
N,O1042,B10,200
G,O1043,B10,25
G,O1044,B09,50
R,O1045,B08,75
N,O1046,B07,100
G,O1047,B06,125
G,O1048,B05,150
R,O1049,B11,175
N,O1050,B10,200
G,O1051,B10,25
G,O1052,B09,50
R,O1053,B08,75
N,O1054,B07,100.75
G,O1055,B06,125
G,O1056,B05,150
R,O1057,B11,175
N,O1058,B10,200
N,O1059,B10,25
R,O1060,B09,50
G,O1061,B08,75
G,O1062,B07,100
R,O1063,B06,125
N,O1064,B05,150
R,O1065,B11,175
N,O1066,B10,200
G,O1067,B10,25
G,O1068,B09,50
R,O1069,B08,75
N,O1070,B07,100
G,O1071,B06,125
G,O1072,B05,150
R,O1073,B11,175.2
N,O1074,B10,200
G,O1075,B10,25
G,O1076,B09,50
R,O1077,B08,75
N,O1078,B07,100
R,O1079,B06,125
G,O1080,B05,150.8
G,O1081,B11,175
R,O1082,B10,200
N,O1083,B10,25
G,O1084,B09,50
R,O1085,B08,75
N,O1086,B07,100
G,O1087,B06,125
G,O1088,B05,150
R,O1089,B11,175
N,O1090,B10,200
G,O1091,B10,25
G,O1092,B09,50
R,O1093,B08,75
N,O1094,B07,100
G,O1095,B06,125
G,O1096,B05,150
R,O1097,B11,175
N,O1098,B10,200
G,O1099,B10,25
G,O1100,B09,50
R,O1101,B08,75
N,O1102,B07,100
G,O1103,B06,125
G,O1104,B05,150
N,O1105,B11,175
R,O1106,B10,200
G,O1107,B10,25
G,O1108,B09,50
R,O1109,B08,75
N,O1110,B07,100
G,O1111,B06,125
G,O1112,B05,150
R,O1113,B11,175
N,O1114,B10,200
G,O1115,B10,25
G,O1116,B09,50
R,O1117,B08,75
N,O1118,B07,100
G,O1119,B06,125
G,O1120,B05,150
R,O1121,B11,175
N,O1122,B10,200
G,O1123,B10,25
N,O1124,B09,50
R,O1125,B08,75
G,O1126,B07,100
G,O1127,B06,125
R,O1128,B05,150
N,O1129,B11,175
N,O1130,B10,200
G,O1131,B10,25
G,O1132,B09,50
R,O1133,B08,75
N,O1134,B07,100
G,O1135,B06,125
G,O1136,B05,150
R,O1137,B11,175
N,O1138,B10,200
R,O1139,B10,25
G,O1140,B09,50
G,O1141,B08,75
R,O1142,B07,100
N,O1143,B06,125
G,O1144,B05,150
R,O1145,B11,175
N,O1146,B10,200
G,O1147,B10,25
G,O1148,B09,50
R,O1149,B08,75
